Company Name, Telephone, Email
Faulkner Moulds,01422 371072,info@faulknermoulds.net
Adam R Winter Tooling,01634 66 66 27,focus@rwintertooling.com
Fenton Precision Engineering Ltd,01536 723488,sales@fentonprecision.co.uk
FANUC UK Limited, +44 24 7605 3000 ,sales@fanuc.co.uk
Phoenix Engineering 2009 Ltd,01403 269005,john.horspool@phoenixengineering2009.co.uk
Excel Precision,+44 (0)1452 419743,sales@excel-precision.co.uk
Cutwel Ltd,01924 869660,sales@cutwel.net
Petford Group,+44 (0)1384 246930,kira.edwards@petfordtools.co.uk
Surtec North East Ltd,0191 329 3153,barry@surtecne.co.uk
SPE Swiftool Precision Engineering Ltd,+44 (0) 1623 515544,Paul.bryan@swiftool.co.uk
N.T.G. Precision Engineers,0191 482 2455,brian@ntg-ltd.co.uk
Excel Precision,+44 (0)1452 419743,sales@excel-precision.co.uk
Faulkner Moulds,01422 371072,info@faulknermoulds.net
Adam R Winter Tooling,01634 66 66 27,focus@rwintertooling.com
Cutwel Ltd,01924 869660,sales@cutwel.net
National Composites Centre,+44 (0) 117 370 7600,shaw.beattie@nccuk.com
FANUC UK Limited, +44 24 7605 3000 ,sales@fanuc.co.uk
Phoenix Engineering 2009 Ltd,01403 269005,john.horspool@phoenixengineering2009.co.uk
Delta Tooling (Horsham) Ltd,+44 (0)1403 780468,sales@deltatooling.co.uk
Surtec North East Ltd,0191 329 3153,barry@surtecne.co.uk
Tokai Carbon Europe,0800 1695647,carl.daughters@tokaicarboneurope.com
Phoenix Engineering 2009 Ltd,01403 269005,john.horspool@phoenixengineering2009.co.uk
Cutwel Ltd,01924 869660,sales@cutwel.net
Adam R Winter Tooling,01634 66 66 27,focus@rwintertooling.com
JEB Technologies Ltd,+44 (0) 1638 718435,sales@jeb-technologies.com
Accura Engineering Limited,01902 606206,geometric@geometric.co.uk
Hockley Pattern & Tool Company Limited,0121 561 4665,neil.williams@hockleypattern.co.uk
SPE Swiftool Precision Engineering Ltd,+44 (0) 1623 515544,Paul.bryan@swiftool.co.uk
Delta Tooling (Horsham) Ltd,+44 (0)1403 780468,sales@deltatooling.co.uk
GF Machining Solutions,02476 538666,martin.spencer@georgfischer.com
Shield Engineering Cramlington LLP,01670 731414/735353,sales@shield-eng.com
Cutwel Ltd,01924 869660,sales@cutwel.net
Perfect Bore Manufacturing Ltd,01264 360800,sales@pbm-ltd.com
Quantum Manufacturing Limited,01926 885564,info@quantummanltd.com
SPE Swiftool Precision Engineering Ltd,+44 (0) 1623 515544,Paul.bryan@swiftool.co.uk
N.T.G. Precision Engineers,0191 482 2455,brian@ntg-ltd.co.uk
Phoenix Engineering 2009 Ltd,01403 269005,john.horspool@phoenixengineering2009.co.uk
EDS Engineering Ltd,01245 355351,stuart@edseng.co.uk
GB Precision,+44 (0)121 766 7008,info@gbprecision.co.uk
Perfect Bore Manufacturing Ltd,01264 360800,sales@pbm-ltd.com
N.T.G. Precision Engineers,0191 482 2455,brian@ntg-ltd.co.uk
Gotools,01709 547306,sales@gotools.co.uk
Kepston Ltd,01922 743133,b.evans@kepston.co.uk
Hartmetall UK,+44 (0)1299 253 882,info@hartmetalluk.com
Superite Tools Ltd,01922 451151,steve.taylor@superite.co.uk
Phoenix Engineering 2009 Ltd,01403 269005,john.horspool@phoenixengineering2009.co.uk
Thomas Keating Ltd,01403 782045,m.clack@terahertz.co.uk
N.D. Precision Products,01271 345496,sales@ndprecisionproducts.co.uk
Faulkner Moulds,01422 371072,info@faulknermoulds.net
Fenton Precision Engineering Ltd,01536 723488,sales@fentonprecision.co.uk
Excel Precision,+44 (0)1452 419743,sales@excel-precision.co.uk
SPE Swiftool Precision Engineering Ltd,+44 (0) 1623 515544,Paul.bryan@swiftool.co.uk
Waveney Precision Ltd,01986 894447,jamie.walker@waveneyprecision.co.uk
Alphateq Ltd,01788 832444,brian@alphateq.co.uk
Erodex (UK) Ltd,01384 892011,sales@erodex.com
T&G Engineering,01932 353228,enquiry@tgengineering.co.uk
Element Six (UK) Ltd,+44 1235 441 000,innovation@e6.com
